view,group,count,roc_auc,average_precision,mean_score_real,mean_score_fake
decoded,overall,3000,0.9712518518518519,0.9826284906310264,0.06717912500103315,0.8768608858850268
decoded,dataset:GenImage,1200,0.9532263888888889,0.9585056605679294,0.049541588922341666,0.7767115664482117
decoded,dataset:SID_Set,1800,0.9834236111111111,0.9920507910878092,0.08481666107972463,0.9269355456034343
decoded,real_vs:full_synthetic,2400,0.9701836805555555,0.9761961131067735,0.06717912500103315,0.8879879446824391
decoded,real_vs:tampered,1800,0.9733881944444445,0.9528298459824784,0.06717912500103315,0.8546067682902018
jpeg_q75,overall,3000,0.9875131944444445,0.9917816669113725,0.04173206999897957,0.8873021818531884
jpeg_q75,dataset:GenImage,1200,0.9945972222222222,0.9945617444981558,0.010985852579275767,0.8162216265996297
jpeg_q75,dataset:SID_Set,1800,0.9846569444444444,0.9927841410197463,0.07247828741868337,0.9228424594799678
jpeg_q75,real_vs:full_synthetic,2400,0.9890541666666666,0.9896574802847068,0.04173206999897957,0.9009633181492488
jpeg_q75,real_vs:tampered,1800,0.9844312500000001,0.9725313452285672,0.04173206999897957,0.8599799092610677
hash_random_reencode,overall,3000,0.9624215277777777,0.9758152364694549,0.08311275233825048,0.8480057536231147
hash_random_reencode,dataset:GenImage,1200,0.9413458333333333,0.9360876977652071,0.0644244255622228,0.7104561805725098
hash_random_reencode,dataset:SID_Set,1800,0.97750625,0.9891395222641158,0.10180107911427816,0.9167805401484171
hash_random_reencode,real_vs:full_synthetic,2400,0.9601270833333333,0.9649006731728242,0.08311275233825048,0.8458015410105387
hash_random_reencode,real_vs:tampered,1800,0.9670104166666667,0.9416553536132091,0.08311275233825048,0.8524141788482666
neutralized_random_reencode,overall,3000,0.955663425925926,0.9716761231551956,0.08711946283777555,0.8275044247839186
neutralized_random_reencode,dataset:GenImage,1200,0.9253416666666666,0.918294230600687,0.07461831400791805,0.6681025306383769
neutralized_random_reencode,dataset:SID_Set,1800,0.9751354166666667,0.988165557583517,0.09962061166763306,0.9072053718566895
neutralized_random_reencode,real_vs:full_synthetic,2400,0.9527239583333333,0.9587412452220861,0.08711946283777555,0.8234466103712718
neutralized_random_reencode,real_vs:tampered,1800,0.9615423611111111,0.9338054844955469,0.08711946283777555,0.8356200536092122
