condition,error_type,rank,path,dataset,source_class,label,prediction,probability
clean,false_positive,1,WildFake_demo/Images/Real/coco/coco2017/val2017/img159953.jpg,WildFake_demo,real,0,1,0.99951171875
clean,false_positive,2,WildFake_demo/Images/Real/coco/coco2017/val2017/img161581.jpg,WildFake_demo,real,0,1,0.99951171875
clean,false_positive,3,WildFake_demo/Images/Real/coco/coco2017/val2017/img160993.jpg,WildFake_demo,real,0,1,0.99951171875
clean,false_positive,4,WildFake_demo/Images/Real/coco/coco2017/val2017/img163818.jpg,WildFake_demo,real,0,1,0.9990234375
clean,false_positive,5,WildFake_demo/Images/Real/coco/coco2017/val2017/img161863.jpg,WildFake_demo,real,0,1,0.998046875
clean,false_negative,1,WildFake_demo/Images/Diffusion_based/DALLE/Advanced/DALLE3/dalle3/20231103102150b17aad067ad7e034/8148d0b6ad70932b3f6c4ec560e8c152.jpg,WildFake_demo,full_synthetic,1,0,0.0004746913909912
clean,false_negative,2,WildFake_demo/Images/Diffusion_based/DALLE/Advanced/DALLE3/dalle3/202311070924598319e76b1a88ba6c/50bcdb27830ca8be95298802a0162ba9.jpg,WildFake_demo,full_synthetic,1,0,0.0004992485046386
clean,false_negative,3,WildFake_demo/Images/Diffusion_based/DALLE/Advanced/DALLE3/dalle3/202311011943129901ca391019566e/a4c1a07ecb0a5cd6f2ca29572120f434.jpg,WildFake_demo,full_synthetic,1,0,0.0006070137023925
clean,false_negative,4,WildFake_demo/Images/Diffusion_based/DALLE/Advanced/DALLE3/dalle3/202311070924598319e76b1a88ba6c/c5097ad662b67c9af001724e3a102d3c.jpg,WildFake_demo,full_synthetic,1,0,0.0006513595581054
clean,false_negative,5,WildFake_demo/Images/Diffusion_based/DALLE/Advanced/DALLE3/dalle3/202311011943129901ca391019566e/129c9496f9fb40acffb64cbdafcdb889.jpg,WildFake_demo,full_synthetic,1,0,0.0006799697875976
jpeg_90,false_positive,1,WildFake_demo/Images/Real/coco/coco2017/val2017/img159953.jpg,WildFake_demo,real,0,1,0.99853515625
jpeg_90,false_positive,2,WildFake_demo/Images/Real/coco/coco2017/val2017/img159274.jpg,WildFake_demo,real,0,1,0.99365234375
