view,group,count,roc_auc,average_precision,mean_score_real,mean_score_fake
decoded,overall,3000,0.9712078703703704,0.9825791432995776,0.06744695648550987,0.8767949888441298
decoded,dataset:GenImage,1200,0.9532180555555554,0.9584433638908716,0.04893948247035344,0.7762321567535401
decoded,dataset:SID_Set,1800,0.9833597222222221,0.9920071931932756,0.0859544305006663,0.9270764048894247
decoded,real_vs:full_synthetic,2400,0.9701097222222221,0.9760971829250618,0.06744695648550987,0.8878015438715617
decoded,real_vs:tampered,1800,0.9734041666666666,0.9527689786936119,0.06744695648550987,0.8547818787892659
jpeg_q75,overall,3000,0.9870444444444445,0.9914099951470327,0.04229446788628896,0.8822342251406775
jpeg_q75,dataset:GenImage,1200,0.9942500000000001,0.9940931415897011,0.011136407852172852,0.8008238395055135
jpeg_q75,dataset:SID_Set,1800,0.9846243055555556,0.9927654268956753,0.07345252792040508,0.9229394179582596
jpeg_q75,real_vs:full_synthetic,2400,0.9884184027777777,0.9889096225530786,0.04229446788628896,0.8933486785491308
jpeg_q75,real_vs:tampered,1800,0.9842965277777778,0.9722845286172295,0.04229446788628896,0.8600053183237711
hash_random_reencode,overall,3000,0.9619502314814815,0.9753884244719104,0.08324717198808988,0.8434414654307896
hash_random_reencode,dataset:GenImage,1200,0.9406152777777778,0.9345050140498518,0.06338095575571061,0.6961754965782165
hash_random_reencode,dataset:SID_Set,1800,0.9774444444444443,0.9890942031233569,0.10311338822046916,0.917074449857076
hash_random_reencode,real_vs:full_synthetic,2400,0.9594055555555555,0.963942988072943,0.08324717198808988,0.8388986003398895
hash_random_reencode,real_vs:tampered,1800,0.9670395833333333,0.9417356779791346,0.08324717198808988,0.8525271956125895
neutralized_random_reencode,overall,3000,0.9550236111111111,0.9711386121562067,0.08749681611855825,0.8232128278414408
neutralized_random_reencode,dataset:GenImage,1200,0.9242958333333335,0.9159869263475429,0.07329971532026927,0.6541985599199931
neutralized_random_reencode,dataset:SID_Set,1800,0.975025,0.9880951221780008,0.10169391691684723,0.9077199618021647
neutralized_random_reencode,real_vs:full_synthetic,2400,0.951746875,0.9575584059981802,0.08749681611855825,0.8169152843952179
neutralized_random_reencode,real_vs:tampered,1800,0.9615770833333334,0.9338670928554959,0.08749681611855825,0.8358079147338867
