condition,count_base,roc_auc_base,accuracy_base,balanced_accuracy_base,precision_base,recall_base,specificity_base,f1_base,fp_base,fn_base,count_cand,roc_auc_cand,accuracy_cand,balanced_accuracy_cand,precision_cand,recall_cand,specificity_cand,f1_cand,fp_cand,fn_cand
clean,13841,0.9635905249807716,0.8782602413120439,0.888937085633756,0.9539573820395738,0.8505032228881602,0.9273709483793516,0.8992646619238358,363,1322,13841,0.9647381286564156,0.8833899284733762,0.8929080622410674,0.9542541158728164,0.8586452561347959,0.927170868347339,0.9039285714285714,364,1250
jpeg_90,13841,0.9818438287901388,0.8984899934975796,0.9143384030079292,0.9814862765406523,0.85728825059369,0.9713885554221688,0.91519285326251,143,1262,13841,0.982490191598521,0.9054981576475688,0.9198229670698992,0.9817158931082982,0.8682573787176298,0.9713885554221688,0.9215074411905906,143,1165
jpeg_70,13841,0.9887225499721544,0.8695903475182429,0.8962019501909098,0.9943804439449284,0.8004071016623318,0.9919967987194878,0.8869118476285947,40,1765,13841,0.9890510654108982,0.8760205187486453,0.901234179072511,0.9944498404329124,0.8104715594255343,0.9919967987194878,0.8930841121495328,40,1676
jpeg_50,13841,0.9897367292501078,0.7984972184090745,0.8416521759670734,0.997534516765286,0.686305552414339,0.996998799519808,0.8131573658471226,15,2774,13841,0.9899350331560872,0.8076006068925655,0.8487764550578798,0.997584541062802,0.7005541105959516,0.996998799519808,0.8230917425097987,15,2648
jpeg_30,13841,0.9807673832848756,0.6970594610216024,0.7625283405231367,0.9980719794344473,0.5268574013343887,0.9981992797118848,0.6896602768114868,9,4184,13841,0.9810782392794276,0.7034896322520049,0.767560569404738,0.9981080512928316,0.5369218590975913,0.9981992797118848,0.6982352941176471,9,4095
blur_0.5,13841,0.960437754203796,0.8754425258290586,0.8853400118387285,0.950056897205715,0.849711636322515,0.920968387354942,0.8970869149952244,395,1329,13841,0.9617952461998032,0.8822339426342027,0.8906549502080602,0.9506435086842434,0.8603415130611783,0.920968387354942,0.9032411254897303,395,1235
blur_1.0,13841,0.9469108688369616,0.8656888953110324,0.8715736209671021,0.9334657398212513,0.8503901390930679,0.8927571028411364,0.8899934907390971,536,1323,13841,0.9487793307982472,0.8715410736218482,0.8761100165498745,0.9340213785477331,0.8596630102906253,0.8925570228091236,0.8953009068425392,537,1241
blur_2.0,13841,0.8151182897675637,0.7541362618307925,0.7249849956945347,0.794436025113661,0.8299219721813864,0.620048019207683,0.8117913832199547,1899,1504,13841,0.8220670604553029,0.7623004118199552,0.7322006943679881,0.7981316439385805,0.8405518489200497,0.6238495398159264,0.8187926856135712,1880,1410
scale_0.5,13841,0.9406586563156304,0.85882522939094,0.8617218344988113,0.9217582955797724,0.8512948094538053,0.8721488595438175,0.8851263962375074,639,1315,13841,0.9427532293025772,0.864966404161549,0.8663539033163871,0.9221549636803874,0.8613592672170078,0.8713485394157663,0.8907209261533064,643,1226
scale_0.25,13841,0.9522013373934896,0.862220937793512,0.8743403728108907,0.9471376998452812,0.8307135587470316,0.91796718687475,0.8851135610578951,410,1497,13841,0.9548127856819536,0.8700960913228813,0.8805904358803343,0.948098206335072,0.842813524821893,0.9183673469387756,0.8923611111111112,408,1390
noise_0.02,13841,0.8598402495681071,0.7801459432121957,0.8023226139941445,0.9155918601318428,0.7224923668438312,0.8821528611444578,0.8076607041274256,589,2454,13841,0.8664592151459701,0.78823784408641,0.8083943178085438,0.9162207828780624,0.7358362546647066,0.8809523809523809,0.8161806208842898,595,2336
noise_0.05,13841,0.8719121822651938,0.7386749512318475,0.7786541847316785,0.9355,0.6347393418523125,0.9225690276110444,0.756316108603382,387,3230,13841,0.8759065087077464,0.752330033957084,0.7893406033678879,0.9374697043141056,0.6561121791247314,0.9225690276110444,0.771953166577967,387,3041
noise_0.10,13841,0.8576191756811286,0.7269705946102161,0.7560534787249742,0.8921933085501859,0.6513626597308606,0.8607442977190877,0.752990391528858,696,3083,13841,0.8604203753196404,0.7359294848638104,0.7630211759022278,0.8941051352172592,0.665498134117381,0.8605442176870748,0.7630470016207456,697,2958
color_-0.20,13841,0.9283813943987635,0.8487103532981721,0.8282290751876913,0.8666739106812996,0.9019563496550944,0.7545018007202882,0.8839632051424138,1227,867,13841,0.9322567769616044,0.8548515280687812,0.8331221327160289,0.8680525635501939,0.911342304647744,0.7549019607843137,0.8891708501130909,1225,784
color_0.20,13841,0.9239515550650884,0.8418466873780797,0.8425622425833389,0.9056327724945136,0.8399864299445889,0.8451380552220888,0.8715752420064536,774,1415,13841,0.9264552253107508,0.8465428798497219,0.8459764772130722,0.9057857229133952,0.8480153793961326,0.843937575030012,0.875949071370167,780,1344
crop_0.80,13841,0.9082121936188248,0.7815909255111625,0.815632925113956,0.9520037278657968,0.6930905801198688,0.9381752701080432,0.8021726326811072,309,2714,13841,0.911197669161524,0.7914890542590853,0.8232921688408485,0.9527283781729746,0.7088092276376795,0.9377751100440176,0.8128647386849954,311,2575
