condition,count,roc_auc,accuracy,balanced_accuracy,precision,recall,specificity,f1,fp,fn
clean,13841,0.9647381286564157,0.8833899284733762,0.8929080622410674,0.9542541158728164,0.8586452561347959,0.927170868347339,0.9039285714285714,364,1250
jpeg_90,13841,0.982490191598521,0.9054981576475688,0.9198229670698993,0.9817158931082982,0.8682573787176298,0.9713885554221688,0.9215074411905906,143,1165
jpeg_70,13841,0.9890510654108982,0.8760205187486453,0.901234179072511,0.9944498404329124,0.8104715594255343,0.9919967987194878,0.8930841121495328,40,1676
jpeg_50,13841,0.9899350331560873,0.8076006068925655,0.8487764550578798,0.9975845410628019,0.7005541105959516,0.996998799519808,0.8230917425097987,15,2648
jpeg_30,13841,0.9810782392794277,0.7034896322520049,0.767560569404738,0.9981080512928316,0.5369218590975913,0.9981992797118847,0.6982352941176471,9,4095
blur_0.5,13841,0.9617952461998031,0.8822339426342027,0.8906549502080602,0.9506435086842434,0.8603415130611783,0.920968387354942,0.9032411254897305,395,1235
blur_1.0,13841,0.9487793307982472,0.8715410736218482,0.8761100165498745,0.9340213785477331,0.8596630102906253,0.8925570228091236,0.8953009068425392,537,1241
blur_2.0,13841,0.8220670604553029,0.7623004118199552,0.7322006943679881,0.7981316439385805,0.8405518489200497,0.6238495398159264,0.8187926856135712,1880,1410
scale_0.5,13841,0.9427532293025771,0.864966404161549,0.8663539033163871,0.9221549636803874,0.8613592672170078,0.8713485394157663,0.8907209261533064,643,1226
scale_0.25,13841,0.9548127856819535,0.8700960913228813,0.8805904358803343,0.9480982063350719,0.842813524821893,0.9183673469387755,0.8923611111111112,408,1390
noise_0.02,13841,0.8664592151459701,0.78823784408641,0.8083943178085438,0.9162207828780625,0.7358362546647066,0.8809523809523809,0.8161806208842898,595,2336
noise_0.05,13841,0.8759065087077464,0.752330033957084,0.7893406033678879,0.9374697043141057,0.6561121791247314,0.9225690276110444,0.771953166577967,387,3041
noise_0.10,13841,0.8604203753196404,0.7359294848638104,0.7630211759022278,0.8941051352172592,0.665498134117381,0.8605442176870748,0.7630470016207456,697,2958
color_-0.20,13841,0.9322567769616044,0.8548515280687812,0.8331221327160289,0.8680525635501939,0.911342304647744,0.7549019607843137,0.8891708501130909,1225,784
color_0.20,13841,0.9264552253107508,0.8465428798497219,0.8459764772130722,0.9057857229133953,0.8480153793961326,0.843937575030012,0.875949071370167,780,1344
crop_0.80,13841,0.9111976691615241,0.7914890542590853,0.8232921688408485,0.9527283781729746,0.7088092276376795,0.9377751100440176,0.8128647386849954,311,2575
