source_class,condition,count,roc_auc,mean_probability,median_probability,fraction_above_threshold
full_synthetic,clean,8843,,0.7810965376472926,0.98193359375,0.8586452561347959
full_synthetic,jpeg_90,8843,,0.7930975332932007,0.984375,0.8682573787176298
full_synthetic,jpeg_70,8843,,0.7161198779359252,0.94677734375,0.8104715594255343
full_synthetic,jpeg_50,8843,,0.5967952454776283,0.77880859375,0.7005541105959516
full_synthetic,jpeg_30,8843,,0.4425057061155579,0.30712890625,0.5369218590975913
full_synthetic,blur_0.5,8843,,0.7839114326542621,0.982421875,0.8603415130611783
full_synthetic,blur_1.0,8843,,0.7823119911958254,0.9814453125,0.8596630102906253
full_synthetic,blur_2.0,8843,,0.7575720181821577,0.97412109375,0.8405518489200497
full_synthetic,scale_0.5,8843,,0.7844445164840199,0.98193359375,0.8613592672170078
full_synthetic,scale_0.25,8843,,0.7616699880487601,0.974609375,0.842813524821893
full_synthetic,noise_0.02,8843,,0.6543388087649994,0.91357421875,0.7358362546647066
full_synthetic,noise_0.05,8843,,0.5516467592396187,0.65966796875,0.6561121791247314
full_synthetic,noise_0.10,8843,,0.5396042935626884,0.5947265625,0.665498134117381
full_synthetic,color_-0.20,8843,,0.8562734173148463,0.99658203125,0.911342304647744
full_synthetic,color_0.20,8843,,0.7543339698573226,0.97216796875,0.8480153793961326
full_synthetic,crop_0.80,8843,,0.6130711298162522,0.85009765625,0.7088092276376795
real,clean,4998,,0.0551991171601201,0.0016937255859375,0.07282913165266107
real,jpeg_90,4998,,0.022504238783716875,0.0013723373413085,0.028611444577831133
real,jpeg_70,4998,,0.007814315377640269,0.0007014274597167,0.008003201280512205
real,jpeg_50,4998,,0.003390542623184786,0.0004897117614746,0.003001200480192077
real,jpeg_30,4998,,0.0022638200902613975,0.0004868507385253,0.001800720288115246
real,blur_0.5,4998,,0.06070668614354309,0.0023231506347656,0.07903161264505802
real,blur_1.0,4998,,0.08420967104054296,0.0041160583496093,0.10744297719087635
real,blur_2.0,4998,,0.3022657927631044,0.0541534423828125,0.3761504601840736
real,scale_0.5,4998,,0.09608785728780493,0.00547981262207025,0.12865146058423368
real,scale_0.25,4998,,0.060031671388571885,0.0040855407714843,0.08163265306122448
real,noise_0.02,4998,,0.09211284430230222,0.0123825073242187,0.11904761904761904
real,noise_0.05,4998,,0.06313582361579273,0.0060958862304687,0.07743097238895558
real,noise_0.10,4998,,0.11259535655063264,0.008544921875,0.13945578231292516
real,color_-0.20,4998,,0.1851488017186779,0.0169525146484375,0.24509803921568626
real,color_0.20,4998,,0.11715234528068735,0.0085601806640625,0.15606242496998798
real,crop_0.80,4998,,0.04777844281805278,0.0023374557495116502,0.062224889955982396
