condition,threshold_name,count,threshold,roc_auc,average_precision,accuracy,balanced_accuracy,precision,recall,specificity,f1,tn,fp,fn,tp
clean,default_0.5,16000,0.5,0.9604565476190476,0.9726850219714036,0.8801875,0.8887063492063492,0.9607128918954079,0.8205555555555556,0.9568571428571429,0.8851201534128365,6698,302,1615,7385
clean,calibrated,16000,0.20900000000000002,0.9604565476190476,0.9726850219714036,0.8883125,0.8921190476190477,0.934675183801374,0.8616666666666667,0.9225714285714286,0.8966872868127421,6458,542,1245,7755
jpeg_30,default_0.5,16000,0.5,0.9908061904761906,0.9924253953949896,0.8890625,0.9004682539682539,0.9920991690505381,0.8092222222222222,0.9917142857142857,0.8913775166758461,6942,58,1717,7283
jpeg_30,calibrated,16000,0.20900000000000002,0.9908061904761906,0.9924253953949896,0.9336875,0.9391984126984128,0.985684571148905,0.8951111111111111,0.9832857142857143,0.9382169684970594,6883,117,944,8056
blur_2.0,default_0.5,16000,0.5,0.931514746031746,0.9490762488504879,0.839125,0.8466349206349206,0.91554578375582,0.7865555555555556,0.9067142857142857,0.8461630408797514,6347,653,1921,7079
blur_2.0,calibrated,16000,0.20900000000000002,0.931514746031746,0.9490762488504879,0.848375,0.8483015873015873,0.8775557087066391,0.8488888888888889,0.8477142857142858,0.8629842991076471,5934,1066,1360,7640
scale_0.25,default_0.5,16000,0.5,0.9432148968253968,0.9585250962087802,0.856875,0.8633333333333333,0.9246835443037975,0.8116666666666666,0.915,0.8644970414201184,6405,595,1695,7305
scale_0.25,calibrated,16000,0.20900000000000002,0.9432148968253968,0.9585250962087802,0.8651875,0.8638968253968253,0.8847408073765883,0.8742222222222222,0.8535714285714285,0.879450064270944,5975,1025,1132,7868
noise_0.10,default_0.5,16000,0.5,0.9534839285714285,0.9606112925850677,0.855375,0.8641904761904762,0.9398684210526316,0.7936666666666666,0.9347142857142857,0.8606024096385542,6543,457,1857,7143
noise_0.10,calibrated,16000,0.20900000000000002,0.9534839285714285,0.9606112925850677,0.8959375,0.8930238095238094,0.9004258106780216,0.9163333333333333,0.8697142857142857,0.9083099289608457,6088,912,753,8247
