condition,error_type,rank,path,dataset,source_class,label,prediction,probability
clean,false_positive,1,WildFake_demo/Images/Real/coco/coco2017/val2017/img161581.jpg,WildFake_demo,real,0,1,1.0
clean,false_positive,2,WildFake_demo/Images/Real/coco/coco2017/val2017/img159953.jpg,WildFake_demo,real,0,1,0.99951171875
clean,false_positive,3,WildFake_demo/Images/Real/coco/coco2017/val2017/img159317.jpg,WildFake_demo,real,0,1,0.9990234375
clean,false_positive,4,WildFake_demo/Images/Real/coco/coco2017/val2017/img160993.jpg,WildFake_demo,real,0,1,0.99853515625
clean,false_positive,5,WildFake_demo/Images/Real/coco/coco2017/val2017/img161863.jpg,WildFake_demo,real,0,1,0.998046875
clean,false_positive,6,WildFake_demo/Images/Real/coco/coco2017/val2017/img159852.jpg,WildFake_demo,real,0,1,0.99755859375
clean,false_positive,7,WildFake_demo/Images/Real/coco/coco2017/val2017/img162837.jpg,WildFake_demo,real,0,1,0.99658203125
clean,false_positive,8,WildFake_demo/Images/Real/coco/coco2017/val2017/img162600.jpg,WildFake_demo,real,0,1,0.99658203125
clean,false_positive,9,WildFake_demo/Images/Real/coco/coco2017/val2017/img163485.jpg,WildFake_demo,real,0,1,0.99609375
clean,false_positive,10,WildFake_demo/Images/Real/coco/coco2017/val2017/img161773.jpg,WildFake_demo,real,0,1,0.99609375
clean,false_positive,11,WildFake_demo/Images/Real/coco/coco2017/val2017/img159274.jpg,WildFake_demo,real,0,1,0.9951171875
clean,false_positive,12,WildFake_demo/Images/Real/coco/coco2017/val2017/img162560.jpg,WildFake_demo,real,0,1,0.99462890625
clean,false_negative,1,WildFake_demo/Images/Diffusion_based/DALLE/Advanced/DALLE3/dalle3/202311070924598319e76b1a88ba6c/c5097ad662b67c9af001724e3a102d3c.jpg,WildFake_demo,full_synthetic,1,0,0.0007295608520507
clean,false_negative,2,WildFake_demo/Images/Diffusion_based/DALLE/Advanced/DALLE3/dalle3/2023110215025084768300d30fc34f/0763e21106d9bb5adb44fafdebba1337.jpg,WildFake_demo,full_synthetic,1,0,0.0008106231689453
clean,false_negative,3,WildFake_demo/Images/Diffusion_based/DALLE/Advanced/DALLE3/dalle3/202311070924598319e76b1a88ba6c/e0913d5b9eb0a2c74bc377d336f276c1.jpg,WildFake_demo,full_synthetic,1,0,0.00089693069458
clean,false_negative,4,WildFake_demo/Images/Diffusion_based/DALLE/Advanced/DALLE3/dalle3/202311011943129901ca391019566e/f3969cbaa698d69874ad67eda89fc187.jpg,WildFake_demo,full_synthetic,1,0,0.001133918762207
clean,false_negative,5,WildFake_demo/Images/Diffusion_based/DALLE/Advanced/DALLE3/dalle3/202311011943129901ca391019566e/edc0ae92b84620fd57f2a72508c01e67.jpg,WildFake_demo,full_synthetic,1,0,0.001173973083496
clean,false_negative,6,WildFake_demo/Images/Diffusion_based/DALLE/Advanced/DALLE3/dalle3/202311011943129901ca391019566e/a6fee19a25b72d87e762b8b5ed5986cf.jpg,WildFake_demo,full_synthetic,1,0,0.0011835098266601
clean,false_negative,7,WildFake_demo/Images/Diffusion_based/DALLE/Advanced/DALLE3/dalle3/2023110215025084768300d30fc34f/bc00fc97be21aeb32cf1b02135f5dbed.jpg,WildFake_demo,full_synthetic,1,0,0.0012016296386718
clean,false_negative,8,WildFake_demo/Images/Diffusion_based/DALLE/Advanced/DALLE3/dalle3/202311011943129901ca391019566e/45d5e8397ec19935f3c5c76ee3dd5b73.jpg,WildFake_demo,full_synthetic,1,0,0.0018892288208007
clean,false_negative,9,WildFake_demo/Images/Diffusion_based/DALLE/Advanced/DALLE3/dalle3/20231102143933b82206831d45b85d/ed4740ee61bd78c461b59c8d1ec73304.jpg,WildFake_demo,full_synthetic,1,0,0.0021247863769531
clean,false_negative,10,WildFake_demo/Images/Diffusion_based/DALLE/Advanced/DALLE3/dalle3/202311011943129901ca391019566e/dbc48608fd36fe846db6c64aef8b3f23.jpg,WildFake_demo,full_synthetic,1,0,0.0023136138916015
clean,false_negative,11,WildFake_demo/Images/Diffusion_based/DALLE/Advanced/DALLE3/dalle3/20231103102150b17aad067ad7e034/dde040947d7f2ea164c178f5b7dad202.jpg,WildFake_demo,full_synthetic,1,0,0.0024528503417968
clean,false_negative,12,WildFake_demo/Images/Diffusion_based/DALLE/Advanced/DALLE3/dalle3/20231103102150b17aad067ad7e034/f104d8a186f1cc92ce6b17b5d69506bd.jpg,WildFake_demo,full_synthetic,1,0,0.0027370452880859
blur_2.0,false_positive,1,WildFake_demo/Images/Real/coco/coco2017/val2017/img163903.jpg,WildFake_demo,real,0,1,0.99951171875
blur_2.0,false_positive,2,WildFake_demo/Images/Real/coco/coco2017/val2017/img163909.jpg,WildFake_demo,real,0,1,0.99951171875
blur_2.0,false_positive,3,WildFake_demo/Images/Real/coco/coco2017/val2017/img163583.jpg,WildFake_demo,real,0,1,0.99951171875
blur_2.0,false_positive,4,WildFake_demo/Images/Real/coco/coco2017/val2017/img162986.jpg,WildFake_demo,real,0,1,0.99951171875
blur_2.0,false_positive,5,WildFake_demo/Images/Real/coco/coco2017/val2017/img162044.jpg,WildFake_demo,real,0,1,0.99951171875
blur_2.0,false_positive,6,WildFake_demo/Images/Real/coco/coco2017/val2017/img159714.jpg,WildFake_demo,real,0,1,0.99951171875
blur_2.0,false_positive,7,WildFake_demo/Images/Real/coco/coco2017/val2017/img162966.jpg,WildFake_demo,real,0,1,0.99951171875
blur_2.0,false_positive,8,WildFake_demo/Images/Real/coco/coco2017/val2017/img162024.jpg,WildFake_demo,real,0,1,0.99951171875
blur_2.0,false_positive,9,WildFake_demo/Images/Real/coco/coco2017/val2017/img163607.jpg,WildFake_demo,real,0,1,0.99951171875
blur_2.0,false_positive,10,WildFake_demo/Images/Real/coco/coco2017/val2017/img160451.jpg,WildFake_demo,real,0,1,0.99951171875
blur_2.0,false_positive,11,WildFake_demo/Images/Real/coco/coco2017/val2017/img163403.jpg,WildFake_demo,real,0,1,0.99951171875
blur_2.0,false_positive,12,WildFake_demo/Images/Real/coco/coco2017/val2017/img160986.jpg,WildFake_demo,real,0,1,0.99951171875
blur_2.0,false_negative,1,WildFake_demo/Images/Diffusion_based/DALLE/Advanced/DALLE3/dalle3/202311011943129901ca391019566e/a6fee19a25b72d87e762b8b5ed5986cf.jpg,WildFake_demo,full_synthetic,1,0,0.0011425018310546
blur_2.0,false_negative,2,WildFake_demo/Images/Diffusion_based/DALLE/Advanced/DALLE3/dalle3/202311070924598319e76b1a88ba6c/ed4740ee61bd78c461b59c8d1ec73304.jpg,WildFake_demo,full_synthetic,1,0,0.0012016296386718
blur_2.0,false_negative,3,WildFake_demo/Images/Diffusion_based/DALLE/Advanced/DALLE3/dalle3/20231103102150b17aad067ad7e034/bc00fc97be21aeb32cf1b02135f5dbed.jpg,WildFake_demo,full_synthetic,1,0,0.0012159347534179
blur_2.0,false_negative,4,WildFake_demo/Images/Diffusion_based/DALLE/Advanced/DALLE3/dalle3/202311070924598319e76b1a88ba6c/e0913d5b9eb0a2c74bc377d336f276c1.jpg,WildFake_demo,full_synthetic,1,0,0.0016040802001953
blur_2.0,false_negative,5,WildFake_demo/Images/Diffusion_based/DALLE/Advanced/DALLE3/dalle3/20231103102150b17aad067ad7e034/dde040947d7f2ea164c178f5b7dad202.jpg,WildFake_demo,full_synthetic,1,0,0.0020999908447265
blur_2.0,false_negative,6,WildFake_demo/Images/Diffusion_based/DALLE/Advanced/DALLE3/dalle3/20231103102150b17aad067ad7e034/8148d0b6ad70932b3f6c4ec560e8c152.jpg,WildFake_demo,full_synthetic,1,0,0.002349853515625
blur_2.0,false_negative,7,WildFake_demo/Images/Diffusion_based/DALLE/Advanced/DALLE3/dalle3/202311070924598319e76b1a88ba6c/0d41679fd08b657de692be3741b6b578.jpg,WildFake_demo,full_synthetic,1,0,0.0029354095458984
blur_2.0,false_negative,8,WildFake_demo/Images/Diffusion_based/DALLE/Advanced/DALLE3/dalle3/20231102143933b82206831d45b85d/ef5668cfd9230ed2a6333b043e7fb7a1.jpg,WildFake_demo,full_synthetic,1,0,0.0031242370605468
blur_2.0,false_negative,9,WildFake_demo/Images/Diffusion_based/DALLE/Advanced/DALLE3/dalle3/202311011943129901ca391019566e/777b6989a79a936e43254d482950c985.jpg,WildFake_demo,full_synthetic,1,0,0.0031967163085937
blur_2.0,false_negative,10,WildFake_demo/Images/Diffusion_based/DALLE/Advanced/DALLE3/dalle3/202311011943129901ca391019566e/f3969cbaa698d69874ad67eda89fc187.jpg,WildFake_demo,full_synthetic,1,0,0.0032100677490234
blur_2.0,false_negative,11,WildFake_demo/Images/Diffusion_based/DALLE/Advanced/DALLE3/dalle3/202311011943129901ca391019566e/ff071ab0d10f6e8449815d29ac30773b.jpg,WildFake_demo,full_synthetic,1,0,0.0033760070800781
blur_2.0,false_negative,12,WildFake_demo/Images/Diffusion_based/DALLE/Advanced/DALLE3/dalle3/202311011943129901ca391019566e/41da469d28d6635377588301fe982446.jpg,WildFake_demo,full_synthetic,1,0,0.0034828186035156
