condition,count,roc_auc,average_precision,accuracy_at_0_5,precision_at_0_5,recall_at_0_5,f1_at_0_5,fp_at_0_5,fn_at_0_5
clean,13841,0.9635905249807715,0.9778385319395617,0.8462538833899285,0.9699090272918125,0.7836706999886917,0.8669001751313485,215,1913
jpeg_90,13841,0.9818438287901387,0.989849298904888,0.8617151939888736,0.990791896869245,0.79090806287459,0.8796377814111432,65,1849
jpeg_70,13841,0.9887225499721545,0.9935751950996926,0.8183657250198685,0.9970158630438197,0.7178559312450525,0.8347140039447731,19,2495
jpeg_50,13841,0.9897367292501078,0.9940938835409281,0.73246152734629,0.9984484096198604,0.5821553771344566,0.735481105793271,8,3695
jpeg_30,13841,0.9807673832848756,0.9893137300208877,0.6347807239361318,0.9992092778070638,0.42870066719439104,0.5999841734588905,3,5052
blur_0.5,13841,0.9604377542037961,0.9762878597278672,0.8444476555162199,0.9666573660714286,0.7835576161935994,0.8655299481606396,239,1914
blur_1.0,13841,0.9469108688369615,0.9684722237582215,0.8337547865038654,0.9516708091687379,0.7793735157751894,0.8569474665837737,350,1951
blur_2.0,13841,0.8151182897675637,0.8814408966384177,0.7396864388411242,0.8221047455126629,0.756191337781296,0.7877716911115038,1447,2156
scale_0.5,13841,0.9406586563156304,0.9653946321752116,0.8333935409291237,0.9468215994531785,0.783218364808323,0.8572843173660106,389,1917
scale_0.25,13841,0.9522013373934897,0.9735650720794746,0.8307925727909833,0.9685743116621017,0.7598100192242452,0.8515842839036756,218,2124
noise_0.02,13841,0.8598402495681071,0.9284985700584115,0.7525467813019291,0.9454126931930286,0.650231821779939,0.7705192629815746,332,3093
noise_0.05,13841,0.8719121822651938,0.9255651530917894,0.6883895672278014,0.9537259615384616,0.5383919484337895,0.6882544271774484,231,4082
noise_0.10,13841,0.8576191756811286,0.9000062136057274,0.66144064735207,0.9082694951875859,0.5228994685061631,0.6637003014209847,467,4219
color_-0.20,13841,0.9283813943987637,0.9585573683846718,0.850588830286829,0.9035139964264444,0.8577405857740585,0.880032486367328,810,1258
color_0.20,13841,0.9239515550650884,0.9537986175597079,0.8015316812369049,0.9309954751131222,0.7445437068868032,0.8273955387998744,488,2259
crop_0.80,13841,0.9082121936188249,0.948699847394797,0.7313055415071166,0.9682017543859649,0.5991179463982811,0.7402025847013622,174,3545
