condition,threshold_name,count,threshold,roc_auc,average_precision,accuracy,balanced_accuracy,precision,recall,specificity,f1,tn,fp,fn,tp
clean,default_0.5,13841,0.5,0.9635905249807715,0.9778385319395617,0.8462538833899285,0.8703267465529693,0.9699090272918125,0.7836706999886917,0.9569827931172469,0.8669001751313486,4783,215,1913,6930
clean,calibrated,13841,0.20900000000000002,0.9635905249807715,0.9778385319395617,0.8782602413120439,0.888937085633756,0.9539573820395738,0.8505032228881602,0.9273709483793517,0.8992646619238358,4635,363,1322,7521
jpeg_90,default_0.5,13841,0.5,0.9818438287901387,0.989849298904888,0.8617151939888736,0.8889514303968789,0.990791896869245,0.79090806287459,0.9869947979191677,0.8796377814111432,4933,65,1849,6994
jpeg_90,calibrated,13841,0.20900000000000002,0.9818438287901387,0.989849298904888,0.8984899934975796,0.9143384030079293,0.9814862765406525,0.85728825059369,0.9713885554221688,0.9151928532625099,4855,143,1262,7581
jpeg_70,default_0.5,13841,0.5,0.9887225499721545,0.9935751950996926,0.8183657250198685,0.8570272053184046,0.9970158630438197,0.7178559312450525,0.9961984793917567,0.8347140039447731,4979,19,2495,6348
jpeg_70,calibrated,13841,0.20900000000000002,0.9887225499721545,0.9935751950996926,0.8695903475182429,0.8962019501909098,0.9943804439449283,0.8004071016623318,0.9919967987194878,0.8869118476285947,4958,40,1765,7078
jpeg_50,default_0.5,13841,0.5,0.9897367292501078,0.9940938835409281,0.73246152734629,0.7902773684391771,0.9984484096198604,0.5821553771344566,0.9983993597438976,0.735481105793271,4990,8,3695,5148
jpeg_50,calibrated,13841,0.20900000000000002,0.9897367292501078,0.9940938835409281,0.7984972184090745,0.8416521759670734,0.997534516765286,0.686305552414339,0.996998799519808,0.8131573658471226,4983,15,2774,6069
jpeg_30,default_0.5,13841,0.5,0.9807673832848756,0.9893137300208877,0.6347807239361318,0.7140502135491763,0.9992092778070638,0.42870066719439104,0.9993997599039616,0.5999841734588905,4995,3,5052,3791
jpeg_30,calibrated,13841,0.20900000000000002,0.9807673832848756,0.9893137300208877,0.6970594610216024,0.7625283405231367,0.9980719794344473,0.5268574013343887,0.9981992797118847,0.6896602768114868,4989,9,4184,4659
blur_0.5,default_0.5,13841,0.5,0.9604377542037961,0.9762878597278672,0.8444476555162199,0.8678692442712694,0.9666573660714286,0.7835576161935994,0.9521808723489396,0.8655299481606396,4759,239,1914,6929
blur_0.5,calibrated,13841,0.20900000000000002,0.9604377542037961,0.9762878597278672,0.8754425258290586,0.8853400118387285,0.950056897205715,0.849711636322515,0.920968387354942,0.8970869149952244,4603,395,1329,7514
blur_1.0,default_0.5,13841,0.5,0.9469108688369615,0.9684722237582215,0.8337547865038654,0.8546727522853539,0.9516708091687379,0.7793735157751894,0.9299719887955182,0.8569474665837736,4648,350,1951,6892
blur_1.0,calibrated,13841,0.20900000000000002,0.9469108688369615,0.9684722237582215,0.8656888953110324,0.8715736209671021,0.9334657398212513,0.8503901390930679,0.8927571028411364,0.8899934907390971,4462,536,1323,7520
blur_2.0,default_0.5,13841,0.5,0.8151182897675637,0.8814408966384177,0.7396864388411242,0.7333377657293835,0.8221047455126629,0.756191337781296,0.710484193677471,0.7877716911115039,3551,1447,2156,6687
blur_2.0,calibrated,13841,0.20900000000000002,0.8151182897675637,0.8814408966384177,0.7541362618307925,0.7249849956945347,0.794436025113661,0.8299219721813864,0.620048019207683,0.8117913832199547,3099,1899,1504,7339
scale_0.5,default_0.5,13841,0.5,0.9406586563156304,0.9653946321752116,0.8333935409291237,0.8526936161776708,0.9468215994531785,0.783218364808323,0.9221688675470188,0.8572843173660106,4609,389,1917,6926
scale_0.5,calibrated,13841,0.20900000000000002,0.9406586563156304,0.9653946321752116,0.85882522939094,0.8617218344988113,0.9217582955797723,0.8512948094538053,0.8721488595438175,0.8851263962375074,4359,639,1315,7528
scale_0.25,default_0.5,13841,0.5,0.9522013373934897,0.9735650720794746,0.8307925727909833,0.8580962861227268,0.9685743116621017,0.7598100192242452,0.9563825530212084,0.8515842839036756,4780,218,2124,6719
