condition,threshold_name,count,threshold,roc_auc,average_precision,accuracy,balanced_accuracy,precision,recall,specificity,f1,tn,fp,fn,tp
clean,default_0.5,64,0.5,0.9826839826839827,0.9914895596080264,0.890625,0.895021645021645,0.9487179487179487,0.8809523809523809,0.9090909090909091,0.9135802469135802,20,2,5,37
clean,calibrated,64,0.315,0.9826839826839827,0.9914895596080264,0.9375,0.9307359307359306,0.9523809523809523,0.9523809523809523,0.9090909090909091,0.9523809523809523,20,2,2,40
jpeg_30,default_0.5,64,0.5,0.9967532467532467,0.9984126984126984,0.90625,0.9285714285714286,1.0,0.8571428571428571,1.0,0.923076923076923,22,0,6,36
jpeg_30,calibrated,64,0.315,0.9967532467532467,0.9984126984126984,0.9375,0.9523809523809523,1.0,0.9047619047619048,1.0,0.9500000000000001,22,0,4,38
blur_2.0,default_0.5,64,0.5,0.9588744588744588,0.9802982159000976,0.875,0.893939393939394,0.9722222222222222,0.8333333333333334,0.9545454545454546,0.8974358974358975,21,1,7,35
blur_2.0,calibrated,64,0.315,0.9588744588744588,0.9802982159000976,0.875,0.8722943722943723,0.925,0.8809523809523809,0.8636363636363636,0.9024390243902439,19,3,5,37
scale_0.25,default_0.5,64,0.5,0.9675324675324675,0.9842333578055862,0.90625,0.9069264069264069,0.95,0.9047619047619048,0.9090909090909091,0.9268292682926829,20,2,4,38
scale_0.25,calibrated,64,0.315,0.9675324675324675,0.9842333578055862,0.90625,0.8961038961038961,0.9285714285714286,0.9285714285714286,0.8636363636363636,0.9285714285714286,19,3,3,39
noise_0.10,default_0.5,64,0.5,0.9599567099567099,0.9812558411349492,0.890625,0.9058441558441559,0.972972972972973,0.8571428571428571,0.9545454545454546,0.9113924050632912,21,1,6,36
noise_0.10,calibrated,64,0.315,0.9599567099567099,0.9812558411349492,0.921875,0.9296536796536796,0.9743589743589743,0.9047619047619048,0.9545454545454546,0.9382716049382716,21,1,4,38
