condition,error_type,rank,path,dataset,source_class,label,prediction,probability
clean,false_positive,1,WildFake_demo/Images/Real/coco/coco2017/val2017/img160249.jpg,WildFake_demo,real,0,1,0.69384765625
clean,false_positive,2,WildFake_demo/Images/Real/coco/coco2017/val2017/img163446.jpg,WildFake_demo,real,0,1,0.49267578125
clean,false_negative,1,WildFake_demo/Images/Diffusion_based/DALLE/Advanced/DALLE3/dalle3/202311011943129901ca391019566e/57bec8c81d42da1440153e87f559d83e.jpg,WildFake_demo,full_synthetic,1,0,0.007904052734375
clean,false_negative,2,WildFake_demo/Images/Diffusion_based/DALLE/Advanced/DALLE3/dalle3/202311070924598319e76b1a88ba6c/11b2a25405796b97e3ad45186efbbd8f.jpg,WildFake_demo,full_synthetic,1,0,0.012725830078125
clean,false_negative,3,WildFake_demo/Images/Diffusion_based/DALLE/Advanced/DALLE3/dalle3/202311070924598319e76b1a88ba6c/160acb9076feae89d6c0ef45911b13f7.jpg,WildFake_demo,full_synthetic,1,0,0.08038330078125
clean,false_negative,4,WildFake_demo/Images/Diffusion_based/DALLE/Advanced/DALLE3/dalle3/20231103102150b17aad067ad7e034/d05d6540053eb91682367a67f2cfd46e.jpg,WildFake_demo,full_synthetic,1,0,0.10577392578125
clean,false_negative,5,WildFake_demo/Images/Diffusion_based/DALLE/Advanced/DALLE3/dalle3/202311011943129901ca391019566e/c0e184c2affefc0e82da00870916db83.jpg,WildFake_demo,full_synthetic,1,0,0.1368408203125
clean,false_negative,6,WildFake_demo/Images/Diffusion_based/DALLE/Advanced/DALLE3/dalle3/2023110215025084768300d30fc34f/417f36569e81c3bd6e1a60ec9f0c48a8.jpg,WildFake_demo,full_synthetic,1,0,0.2437744140625
clean,false_negative,7,WildFake_demo/Images/Diffusion_based/DALLE/Advanced/DALLE3/dalle3/20231102143933b82206831d45b85d/7e2ead9593aac3d45ae64e74cc0642c2.jpg,WildFake_demo,full_synthetic,1,0,0.245849609375
clean,false_negative,8,WildFake_demo/Images/Diffusion_based/DALLE/Advanced/DALLE3/dalle3/20231103102150b17aad067ad7e034/cf8b568a413072e7290aeeec0e415ecb.jpg,WildFake_demo,full_synthetic,1,0,0.2666015625
blur_2.0,false_positive,1,WildFake_demo/Images/Real/coco/coco2017/val2017/img160959.jpg,WildFake_demo,real,0,1,0.998046875
blur_2.0,false_positive,2,WildFake_demo/Images/Real/coco/coco2017/val2017/img163770.jpg,WildFake_demo,real,0,1,0.99609375
blur_2.0,false_positive,3,WildFake_demo/Images/Real/coco/coco2017/val2017/img159026.jpg,WildFake_demo,real,0,1,0.99169921875
