condition,count,roc_auc,average_precision,accuracy_at_0_5,precision_at_0_5,recall_at_0_5,f1_at_0_5,fp_at_0_5,fn_at_0_5
clean,13841,0.9608961983526874,0.9755425310486029,0.8440864099414782,0.9645587213342599,0.7848015379396133,0.8654445691482728,255,1903
jpeg_90,13841,0.9806270806411449,0.9888380307266913,0.8636659200924789,0.9877980364656381,0.7964491688341061,0.8818631440555939,87,1800
jpeg_70,13841,0.9880412642270525,0.9928407278442383,0.8116465573296727,0.9952350698856417,0.7085830600474952,0.8277957592971795,30,2577
jpeg_50,13841,0.9893034563141099,0.9933935531330672,0.7164222238277581,0.9977732793522267,0.5573900260092729,0.7152289051730393,11,3914
jpeg_30,13841,0.9806144667524365,0.9882740777301939,0.6046528430026732,0.9976380277531739,0.38211014361641976,0.5525756336876533,8,5464
blur_0.5,13841,0.9592350906211179,0.9750027677407469,0.8484936059533271,0.9648566703417861,0.7916996494402352,0.8697434623268526,255,1842
blur_1.0,13841,0.9419781030132284,0.9648799933187722,0.8372227440213857,0.9462351029252438,0.7901164763089449,0.8611573303753004,397,1856
blur_2.0,13841,0.7833861464974998,0.8648475151100757,0.7154107362184813,0.7912805892135899,0.7532511591088997,0.7717976942239732,1757,2182
scale_0.5,13841,0.9353426205945455,0.9614389660977907,0.8336102882739687,0.9403447347158632,0.7896641411285763,0.8584424365357428,443,1860
scale_0.25,13841,0.9432945857298025,0.9680541444433044,0.8239289068708908,0.9590140441387217,0.7567567567567568,0.8459642247645535,286,2151
noise_0.02,13841,0.8637627390659984,0.928251482045905,0.7397586879560726,0.9457390712706243,0.6287459007124279,0.755332155957071,319,3283
noise_0.05,13841,0.8995631612364496,0.9398515450546204,0.7077523300339571,0.9622350674373795,0.5647404726902635,0.7117508729423502,196,3849
noise_0.10,13841,0.8779899950481154,0.9114985950498775,0.6957589769525323,0.9171469740634006,0.5758226846092955,0.7074678707884682,460,3751
color_-0.20,13841,0.9143320790942182,0.9492361238533219,0.8388844736651976,0.8909778881400023,0.8520863960194505,0.8710982658959537,922,1308
color_0.20,13841,0.9181486345527694,0.949881869241473,0.7945235170869157,0.9278276993296248,0.7356100870745222,0.8206130944871957,506,2338
crop_0.80,13841,0.9090968061995803,0.9478306026208525,0.7282710786792862,0.9655551484060095,0.5959516001357006,0.7370113978043493,188,3573
